XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
43.099998;0.032444689;0.039183784;-0.083006211;-0.084062576
43.200001;0.033180512;0.038782872;-0.082406811;-0.085686691
43.299999;0.033660796;0.0380372;-0.081784166;-0.08736711
43.400002;0.033788167;0.036948942;-0.081238858;-0.089073204
43.5;0.033522338;0.035589557;-0.080850184;-0.090758719
43.599998;0.032889951;0.034084175;-0.080664724;-0.09237133
43.700001;0.031979043;0.032578871;-0.080695555;-0.093863413
43.799999;0.030919624;0.031200839;-0.080930188;-0.095200211
43.900002;0.029855499;0.030023698;-0.081343025;-0.096363097
44;0.028914697;0.029048989;-0.081907488;-0.097347386
44.099998;0.028185803;0.028209817;-0.082603648;-0.098156102
44.200001;0.027705442;0.027395723;-0.083419688;-0.098792806
44.299999;0.027458778;0.026491132;-0.084347829;-0.099256597
44.400002;0.027391298;0.0254154;-0.085377388;-0.099541686
44.5;0.027427416;0.024151985;-0.086488508;-0.099642046
44.599998;0.027490217;0.022757582;-0.087649234;-0.099559404
44.700001;0.027517254;0.021348402;-0.088817544;-0.099311724
44.799999;0.027469186;0.020067789;-0.089947343;-0.098938353
44.900002;0.027330607;0.019045202;-0.090996474;-0.098499209
45;0.027104637;0.01835905;-0.091933779;-0.098067261
45.099998;0.026804302;0.018014602;-0.092742801;-0.097715415
45.200001;0.026443852;0.017943397;-0.093421273;-0.097501419
45.299999;0.026032383;0.018023876;-0.093976848;-0.097454786
45.400002;0.02557075;0.018116659;-0.094421193;-0.097569622
45.5;0.025051437;0.018103546;-0.094765007;-0.097805679
45.599998;0.024460224;0.017918672;-0.095015772;-0.098097257
45.700001;0.023778414;0.017562898;-0.095179357;-0.098367989
45.799999;0.022984918;0.017097935;-0.095264487;-0.09854757
