X a:y(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Y, a:z(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Z,
2.160125,-1.0460644E-0007,-0.010275204
2.1651249,-1.1296115E-0007,-0.010549712
2.170125,-1.2465453E-0007,-0.010809653
2.1751249,-1.3423256E-0007,-0.011054862
2.180125,-1.3999214E-0007,-0.011285191
2.1851251,-1.4206861E-0007,-0.011500509
2.190125,-1.4099147E-0007,-0.011700704
2.1951251,-1.4579805E-0007,-0.011885683
2.200125,-1.4988331E-0007,-0.01205537
2.2051251,-1.5084078E-0007,-0.012209701
2.210125,-1.5006394E-0007,-0.012348652
2.2151251,-1.4875356E-0007,-0.012472209
2.220125,-1.4524406E-0007,-0.012580352
2.2251251,-1.4116682E-0007,-0.012673089
2.230125,-1.4755625E-0007,-0.012750438
2.2351251,-1.6545322E-0007,-0.012812451
2.2401249,-1.86945E-0007,-0.012859195
2.2451251,-2.029211E-0007,-0.012890751
2.2501249,-2.1191181E-0007,-0.01290722
2.255125,-2.1353686E-0007,-0.012908718
2.2601249,-2.0778201E-0007,-0.012895375
2.265125,-1.9513574E-0007,-0.012867337
2.2701249,-1.7810514E-0007,-0.012824761
2.275125,-1.6071711E-0007,-0.012767821
2.2801249,-1.4683521E-0007,-0.012696709
2.285125,-1.3937488E-0007,-0.012611632
2.2901249,-1.3961558E-0007,-0.012512813
2.295125,-1.4723967E-0007,-0.012400489
2.3001249,-1.6074461E-0007,-0.012274909
2.305125,-1.7759444E-0007,-0.012136333
2.3101251,-1.9503814E-0007,-0.011985033
2.315125,-2.1057966E-0007,-0.011821295
2.3201251,-2.2228505E-0007,-0.01164542
2.325125,-2.2903318E-0007,-0.01145772
2.3301251,-2.3065584E-0007,-0.011258521
2.335125,-2.2776676E-0007,-0.011048157
2.3401251,-2.2162506E-0007,-0.01082697
2.345125,-2.1386874E-0007,-0.010595306
2.3501251,-2.0598188E-0007,-0.010353524
2.355125,-1.9919726E-0007,-0.010101993
2.3601251,-1.941972E-0007,-0.0098410854
2.3651249,-1.9132791E-0007,-0.00957119
2.3701251,-1.9053769E-0007,-0.0092926966
2.3751249,-1.9145743E-0007,-0.0090060011
2.380125,-1.9350043E-0007,-0.0087115038
2.3851249,-1.9605295E-0007,-0.0084096091
2.390125,-1.9726659E-0007,-0.0081007294
2.3951249,-1.9629971E-0007,-0.0077852863
2.400125,-1.9276159E-0007,-0.0074636918
2.4051249,-1.8923109E-0007,-0.0071363733
2.410125,-1.914492E-0007,-0.0068037594
2.4151249,-2.0160533E-0007,-0.0064662769
2.420125,-2.184496E-0007,-0.0061243465
2.4251249,-2.3936391E-0007,-0.0057783984
2.430125,-2.5707416E-0007,-0.0054288828
2.4351251,-2.6644935E-0007,-0.0050762333
2.440125,-2.6977708E-0007,-0.0047208806
2.4451251,-2.6997972E-0007,-0.0043632519
2.450125,-2.651833E-0007,-0.004003772
2.4551251,-2.5411273E-0007,-0.0036428692
2.460125,-2.3801623E-0007,-0.0032809686
2.4651251,-2.1968195E-0007,-0.0029184951
2.470125,-2.0217276E-0007,-0.0025558695
2.4751251,-1.8791391E-0007,-0.0021935103
2.480125,-1.7835441E-0007,-0.0018318301
2.4851251,-1.7382162E-0007,-0.0014712375
2.4901249,-1.7374671E-0007,-0.001112137
2.4951251,-1.7687623E-0007,-0.00075492909
2.5001249,-1.8167195E-0007,-0.0004000084
2.505125,-1.8662645E-0007,-4.7762398E-0005
2.5101249,-1.9041451E-0007,0.00030142913
2.515125,-1.9209428E-0007,0.00064719346
2.5201249,-1.9118292E-0007,0.00098916469
2.525125,-1.8765972E-0007,0.0013269809
2.5301249,-1.8195263E-0007,0.0016602881
2.535125,-1.7469954E-0007,0.0019887418
2.5401249,-1.666816E-0007,0.0023120083
2.545125,-1.5857303E-0007,0.0026297627
2.5501249,-1.5081538E-0007,0.0029416876
2.555125,-1.4395695E-0007,0.003247476
2.5601251,-1.383511E-0007,0.0035468296
2.565125,-1.3383624E-0007,0.0038394604
2.5701251,-1.301397E-0007,0.0041250926
2.575125,-1.2692163E-0007,0.0044034589
2.5801251,-1.2390655E-0007,0.0046743033
2.585125,-1.2075384E-0007,0.0049373824
2.5901251,-1.1723598E-0007,0.0051924619
2.595125,-1.1325817E-0007,0.0054393206
2.6001251,-1.0885928E-0007,0.0056777489
2.605125,-1.0404617E-0007,0.0059075486
2.6101251,-9.8925518E-0008,0.0061285337
2.6151249,-9.3622752E-0008,0.0063405288
2.6201251,-8.8237854E-0008,0.0065433695
2.6251249,-8.5123517E-0008,0.0067360746
2.630125,-8.0950421E-0008,0.006923818
2.6351249,-6.8268179E-0008,0.0071031833
2.6403749,-4.7788383E-0008,0.0072813919
2.6451249,-3.1728923E-0008,0.0074359304
2.650125,-2.6107276E-0008,0.0075859069
2.6551249,-3.1277725E-0008,0.0077234991
2.660125,-4.456086E-0008,0.007849385
2.6651249,-5.1962896E-0008,0.0079643372
2.670125,-5.8595081E-0008,0.0080679655
2.6751249,-5.6614773E-0008,0.0081607038
2.680125,-5.1637091E-0008,0.0082422253
2.6851251,-5.1107708E-0008,0.0083133224
2.690125,-4.5694819E-0008,0.0083730035
2.6951251,-3.7917754E-0008,0.0084224483
2.700125,-3.1846671E-0008,0.0084630074
2.7051251,-2.1465008E-0008,0.0084953131
2.710125,-1.2696854E-0008,0.0085165007
2.7151251,-2.8147582E-0009,0.0085301325
2.720125,1.0636318E-0008,0.0085317027
2.7251251,2.5954446E-0008,0.0085246162
2.730125,4.1992646E-0008,0.0085100718
2.7351251,5.3528431E-0008,0.0084866136
2.7401249,7.0171289E-0008,0.0084535675
2.7453749,9.0266155E-0008,0.0084066018
2.7501249,9.9890116E-0008,0.0083579328
2.755125,9.7433166E-0008,0.008296011
2.7601249,8.1111665E-0008,0.0082239499
2.765125,6.2298206E-0008,0.0081425561
2.7701249,4.295611E-0008,0.0080523379
2.775125,1.9102268E-0008,0.0079541001
2.7801249,5.8746985E-0009,0.0078478511
2.785125,9.1952588E-0009,0.0077328952
2.7901249,2.5501103E-0008,0.0076109837
2.795125,5.2987737E-0008,0.0074815694
2.8001249,8.6827662E-0008,0.007344041
2.805125,1.1676241E-0007,0.0072026602
2.8101251,1.3253198E-0007,0.0070525138
2.815125,1.0795289E-0007,0.0068960264
2.8201251,6.0100447E-0008,0.0067331535
2.825125,1.8137522E-0008,0.0065629361
2.8301251,-6.3868097E-0009,0.0063865748
2.835125,-8.7538474E-0009,0.0062048472
2.8401251,7.7552746E-0009,0.0060155112
2.845125,3.7638603E-0008,0.0058199097
2.8501251,7.7848952E-0008,0.0056196642
2.855125,1.2438552E-0007,0.0054158024
2.8601251,1.7264878E-0007,0.0052065603
2.8651249,2.1028438E-0007,0.0049924715
2.8701251,2.2806796E-0007,0.0047751376
2.8751249,2.2913881E-0007,0.0045549441
2.880125,2.2471131E-0007,0.0043312851
2.8851249,2.2331251E-0007,0.0041056876
2.890125,2.2027974E-0007,0.0038781469
2.8951249,2.1741542E-0007,0.0036490653
